"WARD_CODE","Rall","Rallr","Call","Callr","Pall","Pallr","Ccumall","Pcumall"
1,-0.365584626490169,2,-25.5252819579832,4,73092.0424919128,30,-6.16162855843602,283914.410591125
2,-0.107479310627525,11,-6.87383069812995,10,27119.64453125,25,-9.13199983701937,549316.216941833
3,-0.0142944685911854,21,-0.35265092460163,23,3293.81943511963,11,-10.5381915531928,726830.129553318
4,-0.00146670211575397,28,-0.0887358843637936,27,1236.2288646698,5,-10.571527529091,741617.745471954
5,-0.289039051733414,4,-14.3995681853005,6,41951.8121166229,28,-7.60752499312065,415977.698129654
6,-0.0334027665418662,17,-0.804202670704595,20,14691.4146194458,18,-10.4756790406065,706071.730543613
7,0,32.5,0,32.5,0,1.5,-10.5747922383371,748480.45388937
8,0,32.5,0,32.5,0,1.5,-10.5747922383371,748480.45388937
9,-0.0256863770440773,20,-2.52846011084316,17,3095.25391387939,10,-10.3237009970267,665888.265353203
10,-0.120246537697804,10,-38.1526758714708,3,35893.7633514404,27,-5.09273065399786,210822.368099213
11,-0.22744235915155,6,-44.8830784154942,1,94259.900352478,33,-1.87952589679624,94259.900352478
12,-0.00214233167601079,27,-0.120981145347268,26,1124.38258934021,4,-10.5678116210355,740381.516607285
13,-0.00316982282217869,26,-0.024528208499111,28,1919.78758811951,6,-10.5725546735005,743537.533060074
14,-0.00135841066210038,29,-0.023792874273896,30,2211.70300483704,8,-10.5745508546558,747955.460094452
15,-0.000214200552978945,31,-0.00576424230913457,31,524.99379491806,3,-10.5747922383371,748480.45388937
16,-0.0107114018856511,23,-1.8026541586323,18,13122.1390414238,17,-10.3991890271202,679010.404394627
17,-0.0956881465600104,12,-7.28888104263929,9,46371.9433832169,29,-8.84415098031376,522196.572410583
18,-0.200107667014399,7,-2.58135140787036,15,9356.13605976105,14,-10.1109656466116,637079.139064789
19,-0.0590367507721697,15,-3.25611758459022,14,21398.5097560883,21,-10.0028688539872,627723.003005028
20,-0.0286020955399555,18,-0.523691479912433,22,9181.29817199707,13,-10.5234239265344,723536.310118198
21,-0.027136275328176,19,-1.02237885134792,19,12369.911529541,16,-10.44200221185,691380.315924168
22,-0.25562306368012,5,-20.1284386749685,5,90111.4754219055,32,-7.00452800043638,374025.886013031
23,-0.0346464244673805,16,-2.55166005706909,16,25713.8723745346,24,-10.2178190828373,662793.011439323
24,-0.00604546628892422,25,-0.235684026162353,25,2768.38356018066,9,-10.5627454089188,739257.134017944
25,-0.14406087170001,9,-8.69597272196652,8,34959.2647171021,26,-8.53892145591514,475824.629027367
26,-0.0807151355116491,13,-4.89212345875442,13,17060.9597625732,20,-9.86651552129921,606324.49324894
27,-0.0620077154309193,14,-6.66958876673089,11,16175.6083545685,19,-9.41129584902653,565491.825296402
28,-0.0132265749368325,22,-0.61645639604652,21,8283.28140258789,12,-10.5014937975599,714355.011946201
29,-0.158794653576217,8,-5.9785223151171,12,23771.7081899643,22,-9.66165272989408,589263.533486366
30,-0.426856435936476,1,-38.578653730504,2,80668.7043952942,31,-3.49504740979892,174928.604747772
31,-0.336016752190658,3,-13.5457748095657,7,24887.6661806107,23,-8.17476849435875,440865.364310265
32,-0.001280591077812,30,-0.0238759317156363,29,2206.22402954102,7,-10.5735545031368,745743.757089615
33,-0.00754594152636362,24,-0.350662048575462,24,9658.62090444565,15,-10.5528758935854,736488.750457764
